,,,,,,,,,Process name,Future Opportunity,"acetone production, liquid | acetone, liquid | APOS, S",Bracket Supply Chain,Diacetone Alcohol Manufacturing Process,Downcycling (Allocation) - s1 (heat pretreatment),Downcycling (Allocation) - s2 (1/3 discard),Downcycling (System Expansion) - s1 (heat pretreatment),Downcycling (System Expansion) - s2 (1/3 discard),Incineration (with recovery - film) - SI units,Landfill (brackets) - SI units,Landfill (film) - SI units,"market for electricity, for reuse in municipal waste incineration only | electricity, for reuse in municipal waste incineration only | APOS, S","market for ethylene glycol | ethylene glycol | APOS, S","market for maleic anhydride | maleic anhydride | APOS, S","market for nylon 6 | nylon 6 | APOS, S","market for petroleum | petroleum | APOS, S","market for polyethylene, linear low density, granulate | polyethylene, linear low density, granulate | APOS, S","market for polypropylene, granulate | polypropylene, granulate | APOS, S","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | APOS, S","market group for electricity, medium voltage | electricity, medium voltage | APOS, S","market group for heat, district or industrial, natural gas | heat, district or industrial, natural gas | APOS, S",MASC,MASC (system expansion),multilayer film production - SI units,Pyrolysis,STRAP,STRAP (SI units-System Expansion)
,,,,,,,,,Product name,multilayer film,"acetone, liquid",Bracket,Diacetone Alcohol,multilayer film waste,multilayer film waste,multilayer film waste,multilayer film waste,multilayer film waste,Bracket Waste,multilayer film waste,"electricity, for reuse in municipal waste incineration only",ethylene glycol,maleic anhydride,nylon 6,petroleum,"polyethylene, linear low density, granulate","polypropylene, granulate","transport, freight, lorry 7.5-16 metric ton, EURO6","electricity, medium voltage","heat, district or industrial, natural gas",multilayer film waste,multilayer film waste,multilayer film,multilayer film waste,multilayer film waste,multilayer film waste
,,,,,,,,,Multi-Output process,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,UUID,3a017a81-50f7-4a19-b71c-106d1b57115e,15e08bcb-75e0-4f45-ab47-d6ddff721ebc,bbf793b9-e953-485e-a6bb-ab8cb5dfde5e,a06b7f72-6316-4903-be61-a5ce9a98bab6,36e9153c-f08a-4edf-8aae-80eef6f20e3d,36e9153c-f08a-4edf-8aae-80eef6f20e3d,36e9153c-f08a-4edf-8aae-80eef6f20e3d,36e9153c-f08a-4edf-8aae-80eef6f20e3d,36e9153c-f08a-4edf-8aae-80eef6f20e3d,bea25bec-19b3-45e7-8207-196c8faf79e6,36e9153c-f08a-4edf-8aae-80eef6f20e3d,637ee275-a239-4dcb-b084-abfa110dd65b,4052f31f-cd94-4b86-b075-210914586a0f,4c2b6470-79f6-40e4-b6c0-08a769c9ab04,d16b5d3f-b5e4-45b6-9a04-23cde05220c0,e6aad2de-0b1b-49c3-a0c4-797ba34d87e5,ff4734a5-a4a6-4960-bfbd-febae7a64f65,66ca2f38-5e51-4546-83c0-d7cef0c55c7c,73585052-b3e9-4cde-832d-2db3272d2ae5,759b89bd-3aa6-42ad-b767-5bb9ef5d331d,1125e767-7b5d-442e-81d6-9b0d3e1919ac,36e9153c-f08a-4edf-8aae-80eef6f20e3d,36e9153c-f08a-4edf-8aae-80eef6f20e3d,3a017a81-50f7-4a19-b71c-106d1b57115e,36e9153c-f08a-4edf-8aae-80eef6f20e3d,36e9153c-f08a-4edf-8aae-80eef6f20e3d,36e9153c-f08a-4edf-8aae-80eef6f20e3d
,,,,,,,,,Infrastructure product,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,Process location,,RoW,,,,,,,,,,RoW,GLO,GLO,RoW,GLO,GLO,GLO,RoW,US,GLO,,,,,,
,,,,,,,,,Process category,Z4: V0.2-REMADE,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",Z2: REMADE,Z2: REMADE,Z2: REMADE,Z2: REMADE,Z2: REMADE,Z2: REMADE,Z2: REMADE,Z2: REMADE,Z2: REMADE,382:Waste treatment and disposal,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics","201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics","201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",061:Extraction of crude petroleum,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics","201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",492:Other land transport,"351:Electric power generation, transmission and distribution",353:Steam and air conditioning supply,Z2: REMADE,Z2: REMADE,Z2: REMADE,Z2: REMADE,Z2: REMADE,Z2: REMADE
,,,,,,,,,Process sub category,,2011:Manufacture of basic chemicals,,,,,,,,,,3821:Treatment and disposal of non-hazardous waste,2011:Manufacture of basic chemicals,2011:Manufacture of basic chemicals,2013:Manufacture of plastics and synthetic rubber in primary forms,0610:Extraction of crude petroleum,2013:Manufacture of plastics and synthetic rubber in primary forms,2013:Manufacture of plastics and synthetic rubber in primary forms,4923:Freight transport by road,"3510:Electric power generation, transmission and distribution",3530:Steam and air conditioning supply,,,,,,
,,,,,,,,,Product/Service unit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Process name,Product name,Multi-Output process,UUID,Infrastructure product,Process location,Process category,Process sub category,Product/Service unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Future Opportunity,multilayer film,FALSE,3a017a81-50f7-4a19-b71c-106d1b57115e,FALSE,,Z4: V0.2-REMADE,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"acetone production, liquid | acetone, liquid | APOS, S","acetone, liquid",FALSE,15e08bcb-75e0-4f45-ab47-d6ddff721ebc,FALSE,RoW,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",2011:Manufacture of basic chemicals,,,,1,,-2.307,,,,,,,,,,,,,,,,,,,,,,,
Bracket Supply Chain,Bracket,FALSE,bbf793b9-e953-485e-a6bb-ab8cb5dfde5e,FALSE,,Z2: REMADE,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,
Diacetone Alcohol Manufacturing Process,Diacetone Alcohol,FALSE,a06b7f72-6316-4903-be61-a5ce9a98bab6,FALSE,,Z2: REMADE,,,,,,,1,,,,,,,,,,,,,,,,,,-1.112,-1,,,,
Downcycling (Allocation) - s1 (heat pretreatment),multilayer film waste,FALSE,36e9153c-f08a-4edf-8aae-80eef6f20e3d,FALSE,,Z2: REMADE,,,,1,,,,-1,,,,,,,,,,,,,,,,,,,,,,
Downcycling (Allocation) - s2 (1/3 discard),multilayer film waste,FALSE,36e9153c-f08a-4edf-8aae-80eef6f20e3d,FALSE,,Z2: REMADE,,,,1,,,,,-1,,,,,,,,,,,,,,,,,,,,,
Downcycling (System Expansion) - s1 (heat pretreatment),multilayer film waste,FALSE,36e9153c-f08a-4edf-8aae-80eef6f20e3d,FALSE,,Z2: REMADE,,,,1,,,,,,-1,,,,,,,,,,,,,,,,,,,,
Downcycling (System Expansion) - s2 (1/3 discard),multilayer film waste,FALSE,36e9153c-f08a-4edf-8aae-80eef6f20e3d,FALSE,,Z2: REMADE,,,,1,,,,,,,-1,,,,,,,,,,,,,,,,,,,
Incineration (with recovery - film) - SI units,multilayer film waste,FALSE,36e9153c-f08a-4edf-8aae-80eef6f20e3d,FALSE,,Z2: REMADE,,,,1,,,,,,,,-0.918,,,,,,,,,,,,,,,,,,
Landfill (brackets) - SI units,Bracket Waste,FALSE,bea25bec-19b3-45e7-8207-196c8faf79e6,FALSE,,Z2: REMADE,,,,,,1,,,,1,1,,-1,,,,,,,,,,,,,,,,,
Landfill (film) - SI units,multilayer film waste,FALSE,36e9153c-f08a-4edf-8aae-80eef6f20e3d,FALSE,,Z2: REMADE,,,,1,,,,0.05,0.3635,1,1,,,-1,,,,,,,,,,,0.05,1,0.11,,50,1
"market for electricity, for reuse in municipal waste incineration only | electricity, for reuse in municipal waste incineration only | APOS, S","electricity, for reuse in municipal waste incineration only",FALSE,637ee275-a239-4dcb-b084-abfa110dd65b,FALSE,RoW,382:Waste treatment and disposal,3821:Treatment and disposal of non-hazardous waste,,,,,,,,,,,3.6,,,3.6,,,,,,,,,,,,,,,
"market for ethylene glycol | ethylene glycol | APOS, S",ethylene glycol,FALSE,4052f31f-cd94-4b86-b075-210914586a0f,FALSE,GLO,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",2011:Manufacture of basic chemicals,,,,,,,,,,,,,,,1,,,,,,,,,,,,,-23,-1
"market for maleic anhydride | maleic anhydride | APOS, S",maleic anhydride,FALSE,4c2b6470-79f6-40e4-b6c0-08a769c9ab04,FALSE,GLO,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",2011:Manufacture of basic chemicals,,,,,,,,,,,,,,,,1,,,,,,,,,,-0.00094,,,
"market for nylon 6 | nylon 6 | APOS, S",nylon 6,FALSE,d16b5d3f-b5e4-45b6-9a04-23cde05220c0,FALSE,RoW,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",2013:Manufacture of plastics and synthetic rubber in primary forms,,,,,,,,,,,,,,,,,1,,,,,,,,,-0.289,,247,1
"market for petroleum | petroleum | APOS, S",petroleum,FALSE,e6aad2de-0b1b-49c3-a0c4-797ba34d87e5,FALSE,GLO,061:Extraction of crude petroleum,0610:Extraction of crude petroleum,,,,,,,,,,,,,,,,,,1,,,,,,,,,740.4,,
"market for polyethylene, linear low density, granulate | polyethylene, linear low density, granulate | APOS, S","polyethylene, linear low density, granulate",FALSE,ff4734a5-a4a6-4960-bfbd-febae7a64f65,FALSE,GLO,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",2013:Manufacture of plastics and synthetic rubber in primary forms,,,,,,,,,,,,,,,,,,,1,,,,,,,-0.821,,703,1
"market for polypropylene, granulate | polypropylene, granulate | APOS, S","polypropylene, granulate",FALSE,66ca2f38-5e51-4546-83c0-d7cef0c55c7c,FALSE,GLO,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",2013:Manufacture of plastics and synthetic rubber in primary forms,,,,,-1,,0.95,0.6365,-1,-1,,,,,,,,,,1,,,,,,,,,
"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | APOS, S","transport, freight, lorry 7.5-16 metric ton, EURO6",FALSE,73585052-b3e9-4cde-832d-2db3272d2ae5,FALSE,RoW,492:Other land transport,4923:Freight transport by road,,,-0.264,,,,,,,,,,,,,,,,,,1,,,,,,,,
"market group for electricity, medium voltage | electricity, medium voltage | APOS, S","electricity, medium voltage",FALSE,759b89bd-3aa6-42ad-b767-5bb9ef5d331d,FALSE,US,"351:Electric power generation, transmission and distribution","3510:Electric power generation, transmission and distribution",,,,,-3.35,,-0.408,-0.408,-1,-1,,,,,,,,,,,,3.6,,-14.78404,-1,-3.24,,-648,-1
"market group for heat, district or industrial, natural gas | heat, district or industrial, natural gas | APOS, S","heat, district or industrial, natural gas",FALSE,1125e767-7b5d-442e-81d6-9b0d3e1919ac,FALSE,GLO,353:Steam and air conditioning supply,3530:Steam and air conditioning supply,,,,,,,-41,,-1,,,,,,,,,,,,,,1,,,,,-3.5136,-1
MASC,multilayer film waste,FALSE,36e9153c-f08a-4edf-8aae-80eef6f20e3d,FALSE,,Z2: REMADE,,,,1,,,,,,,,,,,,,,,,,,,,,-1,,,,,
MASC (system expansion),multilayer film waste,FALSE,36e9153c-f08a-4edf-8aae-80eef6f20e3d,FALSE,,Z2: REMADE,,,,1,,,,,,,,,,,,,,,,,,,,,,-1,,,,
multilayer film production - SI units,multilayer film,FALSE,3a017a81-50f7-4a19-b71c-106d1b57115e,FALSE,,Z2: REMADE,,,,-1,,,,,,,,,,,,,,,,,,,,,0.95,1,1,,,
Pyrolysis,multilayer film waste,FALSE,36e9153c-f08a-4edf-8aae-80eef6f20e3d,FALSE,,Z2: REMADE,,,,1,,,,,,,,,,,,,,,,,,,,,,,,-1000,,
STRAP,multilayer film waste,FALSE,36e9153c-f08a-4edf-8aae-80eef6f20e3d,FALSE,,Z2: REMADE,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,-1000,
STRAP (SI units-System Expansion),multilayer film waste,FALSE,36e9153c-f08a-4edf-8aae-80eef6f20e3d,FALSE,,Z2: REMADE,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,-1